Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
0,24.21960323861123,7.710502869520363e-06,1.5061319204138174e-05,5.5133405949859395e-06,5.5133405949859395e-06,6.8667000050481874e-06,5.519983839682233e-06,3.4961648310567483e-06,1.8528289049275786e-05,Horomaka,basaltic & hypabyssal: basic,Cretaceous,Cretaceous,1
0,24.12772698555349,7.738196275908017e-06,8.519031406816949e-06,5.855117947890876e-06,5.855117947890876e-06,6.592087632267883e-06,2.3686653269278717e-06,4.046000111841968e-06,8.732357538048542e-06,Horomaka,basaltic & hypabyssal: basic,Cretaceous,Cretaceous,1
0,20.346681702331587,7.58759850764301e-06,2.1878165642592886e-05,6.7296992905203974e-06,6.7296992905203974e-06,7.66689749176713e-06,9.29205181921635e-06,4.9762959359213705e-06,0.001425821455494946,Allochthon,basaltic & lava flow,Miocene,Cretaceous,1
-1,17.92152214050293,7.4588660936569795e-06,3.125294478892904e-05,6.8435929279075935e-06,6.8435929279075935e-06,7.191559689090355e-06,2.6372659725614546e-05,5.008185072802008e-06,7.029975189351666e-05,Horomaka,basaltic,Cretaceous,Cretaceous,1
0,10.555217538614473,6.674111704188201e-06,2.24052757990124e-05,5.474258187252493e-06,5.474258187252493e-06,6.758183658264765e-06,6.695817692057749e-06,3.410297747081472e-06,2.505737332622273e-06,Horomaka,hypabyssal: basic & dioritic,Cretaceous,Cretaceous,1
0,9.702797626236988,6.490986379503738e-06,2.433117385547401e-05,5.564629645959941e-06,5.564629645959941e-06,6.626933571693612e-06,6.478840404551542e-06,3.6172428866848352e-06,7.717894999888485e-06,Horomaka,hypabyssal: acid & granitic,Cretaceous,Cretaceous,1
-1,10.85069179534912,6.662110271538143e-06,2.7783522776345703e-05,5.925585060414951e-06,5.925585060414951e-06,6.218809583582227e-06,6.806665409770952e-06,4.160509419031552e-06,1.4112499465000629e-05,Horomaka,hypabyssal: acid & granitic,Cretaceous,Cretaceous,1
-1,0.009999999776482582,-7.09928144715377e-07,2.035420497947608e-05,6.708703949698248e-06,6.708703949698248e-06,1.6783046064006154e-08,1.7156044501768796e-05,4.9773105187341565e-06,3.350104284683998e-06,Horomaka,basaltic & lamprophyric & hypabyssal: basic,Cretaceous,Cretaceous,1
0,21.504661079270157,5.8130163905800825e-06,2.278760715125645e-05,6.5564994393249074e-06,6.5564994393249074e-06,2.786111633380586e-05,1.824445908638149e-05,4.105368673669236e-06,5.1181446557977535e-06,Arc,basaltic,Miocene,Cretaceous,0
0,21.82998275756836,6.3451384448853796e-06,4.329188272354697e-05,5.136347226653015e-06,5.136347226653015e-06,2.917673191404901e-05,9.267487290043932e-05,2.6806636946275826e-06,1.58906865900771e-05,Horomaka,basaltic,Eocene,Paleocene,0
-1,38.27313282549802,7.544097972606641e-06,1.9621477276080705e-05,5.665499341625338e-06,5.665499341625338e-06,2.6415840217344394e-05,1.3250652425506176e-05,3.7694288275564315e-06,2.566216398150888e-06,Tasmantid,"basaltic & rudaceous (cgl, br)",Pliocene,Miocene,0
0,15.132984161376953,6.0959359871048954e-06,4.276411233712854e-05,4.8776587391330395e-06,4.8776587391330395e-06,2.5326304239570167e-05,6.254768233413837e-05,1.8902626703493298e-06,0.06725894045966019,Horomaka,basaltic,Pliocene,Pliocene,0
0,6.881593227543178,5.238833591279449e-06,2.4249748262158365e-05,7.1835068528971085e-06,7.1835068528971085e-06,2.8345307498439692e-05,2.3864191471652593e-05,5.063983009745913e-06,7.3725282152328296e-06,Arc,basaltic,Miocene,Cretaceous,0
-1,18.721710205078125,6.513762855320238e-06,2.3648931359490217e-05,7.629691026522776e-06,7.629691026522776e-06,2.833594689722221e-05,6.2728701156764725e-06,5.161844426766038e-06,5.316738066813761e-06,Horomaka,basaltic,Miocene,Miocene,0
0,22.79939270019531,6.919198312971275e-06,2.243438666482689e-05,8.374930075660814e-06,8.374930075660814e-06,2.574380709513739e-05,6.061976932869584e-06,5.249524721875787e-06,8.136656735016839e-07,Horomaka,trachytic & andesitic & basaltic,Miocene,Miocene,0
